,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,GT,F,T,CT,$M^{0\nu}$,Eparent,Edaughter,Qvalue,Rch,DGT,2+_parent,2+_daughter,$\sigma\tau$,B(E2),$M^{2\nu}$,GT_HF,F_HF,T_HF,CT_HF,$M^{0\nu}$_HF,Eparent_HF,Edaughter_HF,Qvalue_HF,Rch_HF,DGT_HF,2+_parent_HF,2+_daughter_HF,$\sigma\tau$_HF,B(E2)_HF,$M^{2\nu}$_HF
3480,-0.3476941474492906,-0.3473348852781711,-0.3481059071493038,-0.26096386641967434,2.6371005436096935,1.3770673213385958,0.007680595165038495,-1.2875838179438768,1.0075617091410152,0.46165761842809816,-0.9711009691179022,-0.7421086522415867,-0.573363788105585,-0.5290396498362158,0.9299770526544904,-1.8932248439923243,-0.4514567635889441,1.386992,0.360521421042842,-0.313547,0.5756019592039184,2.0095683802467605,-646.57057,-647.587287,2.586716999999972,3.959017,0.173605,1.17220717,1.33735913,,,0.1028463308412226,-0.969222,-0.1240362080724161,-0.020133,-0.2309841899683799,-1.3443753980407962,-375.812017,-368.180937,-6.061080000000054,,,,,,,
3260,-0.33966441241968437,-0.33898463968741066,-0.336819430596039,-0.25093183031749916,2.482879461743659,0.6658831564189089,-0.08896198288979584,-1.3475300959100744,0.9268922308629548,0.34018727090685386,-0.9668331824563572,-0.7315889600341652,-0.6211168047204902,-0.48229381333696375,0.8656942690565413,1.872068392428519,0.2204635351337224,2.878091,0.4715890631781263,-1.051721,0.9478050716101432,3.2457641347882698,-710.474159,-714.462156,5.557997000000064,3.937251,0.626807,0.98547013,1.19241431,0.25115,,0.0474356260554987,0.320911,0.0436716473432946,-0.011423,0.0727871535743071,0.4259468009176018,-300.169263,-296.797915,-1.8013480000000115,,,,,,,
3813,-0.34646941776021917,-0.3473830809862178,-0.34221778097005134,-0.2329906017805488,2.677828435590149,0.36768890047673897,0.03526890678390593,-1.277421255881878,0.6783344267675159,0.34175617622528065,-0.7456802988958451,-0.7557146572591104,-0.4376515689950186,-0.7604149715484709,0.9831978527848556,0.6952472092812294,0.31159239298244157,-0.109401,0.1170835141670283,-0.237908,0.2072070184140368,-0.0230184674189348,-683.888552,-692.452719,10.134166999999998,3.976202,-0.69004,0.53101921,0.6554832,,,-0.0468192244094554,0.127723,-0.0384995969991939,-0.0414,-0.0621728563457126,-0.0143494533449066,-300.817817,-302.604759,3.3569420000000108,,,,,,,
3105,-0.3355686212240035,-0.33314633709714864,-0.3392244231047938,-0.24936552556567027,2.443421474747039,0.5851899686745069,0.01642690905217914,-1.0938302853582997,0.8710763547833285,0.4239171461567002,-0.8376946577700005,-0.7562637970284325,-0.4598209094563537,-0.6938907752616981,1.001976588913301,1.925486000533155,0.3247798497808332,1.888852,0.4669148738297475,-0.589904,0.7081395002790005,2.474002374108748,-645.252137,-648.605995,4.92385800000006,4.085363,-0.037226,0.91601775,1.32470868,0.126541,,0.0045614579007446,-0.176026,-0.0818990637981275,-0.03383,-0.1085594891189782,-0.4003145529171057,-284.487056,-280.561121,-2.355934999999981,,,,,,,
2411,-0.3398756700956037,-0.34553715082192415,-0.34561120619132346,-0.25229236828896284,2.694096971466309,0.6445420412598317,0.01801059416231754,-1.1813965685314132,0.8585119874300451,0.488693034772815,-0.6833478624388982,-0.7575081635767182,-0.39152281084553103,-0.8118946101597916,0.99624912159064,-0.20504794043883856,0.1964446854258679,-0.160194,0.1423615847231694,-0.174005,0.2092065224130448,0.0173691071362142,-625.740386,-631.61465,7.444264000000039,4.077999,-0.88934,0.71270339,0.71438133,0.0706789999999999,,-0.0435599270455985,0.04168,-0.0495256990513981,-0.05111,-0.0780286440572881,-0.1369843431086862,-345.178397,-346.008359,2.3999619999999666,,,,,,,
3350,-0.3442379379228477,-0.3456923592943858,-0.3391006674024883,-0.2709790087594915,2.5601904610280526,0.5745976313217145,-0.05938666435505002,-1.2436194836414876,1.0534807650964182,0.6215207103641665,-0.8404396615472809,-0.7331584091315285,-0.5863674965775705,-0.5082801978863416,0.9519726527107666,0.31929382087646063,0.022954577067189286,0.787264,0.2400626201252402,-0.261045,0.4350734701469403,1.2013550902721806,-640.610237,-647.077482,8.037245000000048,3.975748,-0.365271,0.76607842,0.83881344,-0.033958,,0.0041448001233965,-0.082007,-0.0584816169632339,-0.038884,-0.0993524707049414,-0.2787250876681753,-403.733117,-404.541989,2.3788720000000083,,,,,,,
774,-0.3310894836466642,-0.3346294763964858,-0.329372252950589,-0.21521428620951705,2.476473562082389,0.5189996998041262,0.10129910051811042,-0.9139480599134427,0.5599080472967604,0.21533235414486385,-0.8315001619008411,-0.7023847350236995,-0.3047167345097552,-0.842561945156991,1.0727773715781574,0.9519288003193833,0.4075143457828718,1.039143,0.3649246698493396,-0.654321,0.6273275466550933,1.3770742165044327,-631.525285,-638.269325,8.314039999999927,4.071128,-0.804542,1.01491609,1.48545265,,,-0.1150491255212965,-0.08961,-0.0589069378138756,-0.019767,-0.0831016182032364,-0.251385556017112,-157.586821,-153.47298,-2.543840999999979,,,,,,,
4117,-0.33219721032804034,-0.3328191733377769,-0.3364303616814425,-0.2229964630682872,2.4990655785437674,0.5667185495524496,0.19395071920510887,-0.892817005351757,0.5786515677304697,0.33482644999690203,-0.7221347904897133,-0.7265304294452929,-0.18430868399704514,-1.0322211312810257,1.154373625619954,0.968058581790415,0.3086289609651798,0.505318,0.291774443548887,-0.392139,0.4051009982019963,0.8100544417508835,-624.249897,-628.5992,5.919302999999964,4.155104,-0.795169,0.81015906,1.07820877,0.119587,,-0.0644632571061856,-0.023712,-0.0637398474796949,-0.035647,-0.0795393390786781,-0.2026381865583731,-227.482942,-224.259638,-1.653304000000013,,,,,,,
922,-0.3537476171450681,-0.350856884767562,-0.3487934503112008,-0.253618146678772,2.773731393867955,1.0432461798144828,-0.05179542308351548,-1.330810160771838,0.8955546426707535,0.44138116706902486,-0.87785381861449,-0.7335102559995782,-0.548548911276551,-0.6015406458703647,0.9794823349569455,-0.3354904601051234,0.10031955176926033,0.168062,0.1516101432202864,-0.200305,0.2445521731043461,0.3639193163246326,-666.183599,-671.618514,7.004915000000047,3.942135,-0.40437,0.65163158,0.76655905,-0.051194,,0.0030432823302492,0.240975,0.0389081778163556,-0.010427,0.0711164982329964,0.3405726760493521,-371.214559,-370.788981,1.14442199999997,,,,,,,
1173,-0.3560173064201306,-0.3507986263955409,-0.35478206154956743,-0.2564566216140248,2.7497300189470626,1.0704139658338472,-0.05026019284335603,-1.2961997120340432,0.963408424668295,0.40584278314699884,-0.9138052748724188,-0.7601591672251707,-0.5708265047555823,-0.5805547436000791,0.9070394928147656,0.4001553052023694,0.115989825614906,0.565726,0.2125389050778101,-0.259362,0.3194906069812139,0.838393512059024,-681.753362,-684.968339,4.7849769999999765,4.00588,-0.191727,0.66042032,0.7601302,-0.064381,,0.0213322658774453,0.305817,0.0493651187302374,-0.01,0.0748658937317874,0.4200480124620249,-364.950113,-362.098271,-1.2818419999999764,,,,,,,
1802,-0.3239761439274917,-0.3320161825355383,-0.3301593259624173,-0.2347746196064684,2.4363988035743698,0.7910236299738354,0.04350960452424735,-1.2333958598508856,0.6894692657564063,0.4049931302813361,-0.878532151817307,-0.7293767736208129,-0.3669121788807007,-0.7740915907798949,1.0598631175281932,-1.0472543565297374,-0.20274753732063588,1.562443,0.3413268026536052,-0.647794,0.7367285014570029,1.992704304110608,-694.500467,-694.234112,1.303645000000024,3.851674,0.042889,1.04949259,1.1998177,-0.008253,,-0.0622330114895104,,,,,,,,,,,,,,,
3472,-0.3376260526374335,-0.3355563260114711,-0.33578660202860067,-0.24739932066594475,2.5242693842456676,1.151718182856118,0.07459359922324993,-1.1398781934870352,0.8736686210855146,0.3948778136351133,-0.7327766775509896,-0.7226217801371914,-0.29226214990575033,-0.8755545311931963,1.0428791337747272,0.2568910379255773,0.1554980061242892,0.402262,0.2689335978671957,-0.261257,0.3688811457622915,0.7788197436294872,-610.956789,-615.593011,6.206222000000089,4.144408,-0.782736,0.84681414,0.9152837,0.0273419999999999,,-0.0347561948971111,-0.269942,-0.080765701531403,-0.041517,-0.1179658999317998,-0.5101906014632029,-299.754945,-297.518411,-0.666534000000006,,,,,,,
